product_code,brand_name,original_language,original_name,product_name_en,product_name_zh,product_type,country_of_origin,net_quantity,quantity_unit,sku,barcode,skin_types,skin_concerns,key_ingredients,ingredients_inci,claims,description_en,description_zh,how_to_use_en,how_to_use_zh,warnings_en,warnings_zh,image_urls,status,compliance_status,canadian_label_status,cosmetic_notification_status,compliance_notes,suggested_price,suggested_price_currency,suggested_price_status,suggested_price_note
MASK-KSECRET-79E0B5F7,KSECRET,en,KSECRET Eye Gel Patches Advanced Regenerating 60pcs (Retinol),KSECRET Eye Gel Patches Advanced Regenerating 60pcs (Retinol),KSECRET  Eye Gel Patches Advanced Regenerating 60pcs (Retinol),Eye Mask,KR,60,pc,MASK-KSECRET-PATCHES-REGENERATING-NA-60PC,8809695240195,,,,,,"Skin Concerns:
Fine lines
Wrinkles
Dullness
Dehydration
Loss of firmness

Key Benefits：
Helps smooth and soften the look of fine lines and expression wrinkles
Visibly improves elasticity and firmness around the eyes and smile lines
Brightens and revitalizes tired-looking skin
Delivers a cooling, refreshing sensation for instant comfort",,"Use after toner.
Apply the larger patches to under-eye areas and smaller patches to areas like smile lines or forehead.
Leave on for 20–30 minutes, then remove and pat in the remaining essence.
Use consistently for best results.",,"Discontinue use if irritation occurs. If redness, itching, burning, or swelling develops, stop using the product and consult a doctor.
Keep out of reach of children.
For Sensitive Skin: Perform a patch test on a small area of your inner arm before using this product on your entire face.",,,imported,pending,pending,pending,Awaiting supplier confirmation and Canadian review.,24.99,CAD,pending,Kiokii CAD price captured for review; verify against current supplier pricing.
MASK-BIODANCE-A37F0B4D,Biodance,en,Biodance Caviar PDRN Eye Patches 60pc,Biodance Caviar PDRN Eye Patches 60pc,Biodance  Caviar PDRN Eye Patches 60pc,Eye Mask,KR,60,pc,MASK-BIODANCE-CAVIAR-PDRN-NA-60PC,8809891186631,,,,,,"Skin Concerns:
Fine lines and wrinkles
Loss of firmness
Under-eye dryness
Dull-looking skin
Tired-looking eye area

Key Benefits:
Helps deeply hydrate the under-eye area
Helps improve the appearance of skin elasticity
Nourishes and smooths delicate skin
Helps reduce the appearance of fine lines
Cooling hydrogel patches adhere comfortably to skin",,"Cleanse and dry your skin.
Use the included spatula to remove the patches.
Apply one patch under each eye or on areas of concern.
Leave on for 20–30 minutes.
Remove and gently pat in the remaining essence.",,"External use only. Avoid contact with eyes.
Discontinue use if irritation occurs.
Keep out of reach of children.
For Sensitive Skin: Perform a patch test on a small area before use.",,,imported,pending,pending,pending,Awaiting supplier confirmation and Canadian review.,29.99,CAD,pending,Kiokii CAD price captured for review; verify against current supplier pricing.
MASK-KSECRET-638FBDC5,KSECRET,en,KSECRET Eye Gel Patches Extra Illuminating 60pcs,KSECRET Eye Gel Patches Extra Illuminating 60pcs,KSECRET  Eye Gel Patches Extra Illuminating 60pcs,Eye Mask,KR,60,pc,MASK-KSECRET-PATCHES-EXTRA-NA-60PC,8809695240201,,,,,,"Skin Concerns:
Dullness
Dark circles
Uneven skin tone
Dehydrated eye area

Key Benefits:
Visibly brightens and refreshes the under-eye area for a more radiant appearance
Provides hydration and softens the look of dryness and fine lines
Soothes and revitalizes tired, puffy eyes with a cooling effect",,"Apply to clean, toned skin.
Use the spatula to apply the patches under the eyes or on other areas of concern.
Leave on for 20–30 minutes.
Remove and gently pat in remaining essence.
Store in a cool place for an enhanced refreshing effect.",,"Discontinue use if irritation occurs. If redness, itching, burning, or swelling develops, stop using the product and consult a doctor.
Keep out of reach of children.
For Sensitive Skin: Perform a patch test on a small area of your inner arm before using this product on your entire face.",,,imported,pending,pending,pending,Awaiting supplier confirmation and Canadian review.,24.99,CAD,pending,Kiokii CAD price captured for review; verify against current supplier pricing.
MASK-NUMBUZIN-0175E300,numbuzin,en,numbuzin No.9 NAD+ Collagen Under Eye Patches 5pc,numbuzin No.9 NAD+ Collagen Under Eye Patches 5pc,numbuzin  No.9 NAD+ Collagen Under Eye Patches 5pc,Eye Mask,KR,5,pc,MASK-NUMBUZIN-NO-NAD-NA-5PC,8809652589619,,,,,,"Skin Concerns: 	•	Dark circles and dullness

•	Puffiness under the eyes

•	Fine lines and tired-looking skin

•	Loss of bounce in the delicate eye area
Key Benefits:
Cooling Hydrogel Care – Soothes and refreshes with a comfortable fit.
Hydration & Smoothness – Collagen and peptides help soften the look of fine lines.
Brightening Support – Niacinamide improves radiance and evens tone.
De-Puffing Effect – Caffeine refreshes and reduces visible swelling.
Versatile Use – Can also be applied to smile lines or forehead creases.",,"After cleansing and toning, apply a pair of patches under the eyes, positioning the narrow end toward the inner corner. Leave on for 20 minutes or longer, then remove and gently pat in any remaining essence. Can also be left on overnight for enhanced care.",,"For external use only. Patch testing is always recommended. Discontinue use immediately if you experience any discomfort or irritation. Avoid contact with eyes. If contact occurs, rinse thoroughly with water. Keep out of reach of children.",,,imported,pending,pending,pending,Awaiting supplier confirmation and Canadian review.,22.99,CAD,pending,Kiokii CAD price captured for review; verify against current supplier pricing.
MASK-COSRX-5DF48F97,COSRX,en,COSRX The Peptide Collagen Hydrogel Eye Patch 60 patches,COSRX The Peptide Collagen Hydrogel Eye Patch 60 patches,COSRX  The Peptide Collagen Hydrogel 眼膜 60 patches,Eye Mask,KR,60,pc,MASK-COSRX-PEPTIDE-COLLAGEN-NA-60PC,8809598456983,,,,,,"Skin Concerns：
Key Benefits：",,,,"Discontinue use if irritation occurs. If redness, itching, burning, or swelling develops, stop using the product and consult a doctor.

Keep out of reach of children.
For Sensitive Skin: Perform a patch test on a small area of your inner arm before using this product on your entire face.",,,imported,pending,pending,pending,Awaiting supplier confirmation and Canadian review.,26.99,CAD,pending,Kiokii CAD price captured for review; verify against current supplier pricing.
MASK-ANUA-A3A458A2,Anua,en,Anua Green Lemon Vita C Blemish Serum Mask 25ml,Anua Green Lemon Vita C Blemish Serum Mask 25ml,Anua  Green Lemon Vita C Blemish Serum 眼膜 25ml,Eye Mask,KR,25,ml,MASK-ANUA-LEMON-VITA-GREEN-25ML,8809640733628,,,,,,"Skin Concerns:

Reduces blemishes and dark spots.
Improves overall skin tone and texture.

Key Benefits:
This mask provides a concentrated dose of Vitamin C and Green Lemon extract, effectively combating blemishes and dark spots while promoting a more radiant complexion.",,"Apply the mask to cleansed skin, leave on for 15-20 minutes, then remove and gently massage any remaining serum into the skin.

Use 2-3 times a week for best results.",,,,,imported,pending,pending,pending,Awaiting supplier confirmation and Canadian review.,6.99,CAD,pending,Kiokii CAD price captured for review; verify against current supplier pricing.
MASK-KAO-C4D2DA0E,Kao,en,KAO Steam Eye Mask 12pcs 2025 12pcs,KAO Steam Eye Mask 12pcs 2025 12pcs,Kao  Steam 眼膜 12pcs 2025 12pcs,Eye Mask,JP,12,pc,MASK-KAO-STEAM-NA-12PC-02,4901301455277,,,,,,"Eye Concerns
Eye fatigue and digital eye strain
General stress and tension
Difficulty relaxing before sleep

Key Benefits
Deep Relaxation: Provides a soothing ""Forest Bath"" sensory experience to calm the mind.
Self-Heating Technology: Automatically warms up upon opening, reaching a comfortable 40°C.
Moisturizing Steam: The gentle steam helps to soothe the eye area through hydration.
Comfortable Fit: Features ultra-thin material and soft ear straps that adapt to any face shape.",,"Remove the eye mask from the pouch. The mask will begin to warm up immediately once opened.
Tear along the perforation and place the ear straps around your eyes.
Place the white side of the mask over your eyes with the notched edge facing down.
Relax for approximately 20 minutes while the heat lasts. Dispose of after a single use.",,"For external use only. Do not use with other eye masks or eye products. If you have an eye disease, inflammation, wound, swelling, or eczema around the eyes, consult a doctor before use. Discontinue use immediately if you experience excessive heat, pain, or physical discomfort. Keep out of reach of children.",,,imported,pending,pending,pending,Awaiting supplier confirmation and Canadian review.,17.99,CAD,pending,Kiokii CAD price captured for review; verify against current supplier pricing.
MASK-DR-MELAXIN-933335C6,Dr.Melaxin,en,Dr.Melaxin Cemenrete Calcium Volume Eye Patch 60ea,Dr.Melaxin Cemenrete Calcium Volume Eye Patch 60ea,Dr.Melaxin  Cemenrete Calcium Volume 眼膜 60ea,Eye Mask,KR,60,pc,MASK-DR-MELAXIN-CEMENRETE-CALCIUM-NA-60PC,8809886481666,,,,,,"Skin Concerns：	•	Dryness and dullness around the eyes

•	Loss of firmness

•	Tired or uneven-looking under-eye skin

Key Benefits：
Delivers moisture and nourishment to delicate skin areas
Helps the eye area appear brighter and more refined
Provides a cooling and calming effect with a secure hydrogel fit
Multipurpose for use around the eyes, smile lines, or forehead",,"Use the spatula to apply patches under the eyes or on areas needing extra care. Leave on for 20–30 minutes, then remove and pat in remaining essence. Follow with your regular eye cream and moisturizer.",,"Discontinue use if irritation occurs. If redness, itching, burning, or swelling develops, stop using the product and consult a doctor.

Keep out of reach of children.
For Sensitive Skin: Perform a patch test on a small area of your inner arm before using this product on your entire face.",,,imported,pending,pending,pending,Awaiting supplier confirmation and Canadian review.,39.99,CAD,pending,Kiokii CAD price captured for review; verify against current supplier pricing.
MASK-BIODANCE-4D1D0394,Biodance,en,Biodance Collagen Peptide Eye Patches 60pc,Biodance Collagen Peptide Eye Patches 60pc,Biodance  Collagen Peptide Eye Patches 60pc,Eye Mask,KR,60,pc,MASK-BIODANCE-COLLAGEN-PEPTIDE-NA-60PC,8809891186655,,,,,,"Skin Concerns:
Fine lines and wrinkles
Loss of firmness
Under-eye puffiness
Dryness and dehydration
Dull-looking skin

Key Benefits:
Helps hydrate and plump the under-eye area
Helps improve the appearance of fine lines and wrinkles
Helps reduce the look of puffiness and eye bags
Supports smoother and firmer-looking skin
Cooling hydrogel texture adheres comfortably to the skin",,"Cleanse and dry your skin.
Use the included spatula to remove the patches.
Apply one patch under each eye or on areas of concern.
Leave on for 20–30 minutes.
Remove and gently pat in the remaining essence.",,"External use only. Avoid contact with eyes.
Discontinue use if irritation occurs.
Keep out of reach of children.
For Sensitive Skin: Perform a patch test on a small area before use.",,,imported,pending,pending,pending,Awaiting supplier confirmation and Canadian review.,29.99,CAD,pending,Kiokii CAD price captured for review; verify against current supplier pricing.
MASK-VELLA-0F1B5807,VELLA,en,VELLA PDRN 2000 Peptide Firming Eye Patch (60 Pieces),VELLA PDRN 2000 Peptide Firming Eye Patch (60 Pieces),VELLA  PDRN 2000 Peptide Firming 眼膜 (60 Pieces),Eye Mask,KR,60,pc,MASK-VELLA-PDRN-PEPTIDE-NA-60PC,8809378622386,,,,,,"Skin Concerns: Dryness, Loss of Firmness, Dullness
Key Benefits:
Boosts Hydration: PDRN and hydrating agents help improve moisture retention for plumper, smoother skin. :contentReference[oaicite:1]{index=1}
Supports Elasticity: Peptides and PDRN are known to help with signs of aging by supporting skin’s natural elasticity. :contentReference[oaicite:2]{index=2}
Improves Comfort & Resilience: Lightweight serum texture absorbs quickly to help strengthen and calm the skin barrier. :contentReference[oaicite:3]{index=3}",,"After cleansing and toner, dispense a few drops of the serum onto your fingertips.
Gently smooth the serum over your face and neck in upward motions, avoiding eyes.
Allow it to absorb for a few minutes before layering moisturizer or SPF.
Use morning and evening as part of your regular skincare routine.",,"For external use only. Avoid direct contact with eyes. If contact occurs, rinse thoroughly with water. Discontinue use if irritation develops. Keep out of reach of children.",,,imported,pending,pending,pending,Awaiting supplier confirmation and Canadian review.,22.99,CAD,pending,Kiokii CAD price captured for review; verify against current supplier pricing.
MASK-COSRX-DEFD6C5F,COSRX,en,COSRX 5 PDRN Collagen Vitalizing Hydrogel Eye Patch 60pcs,COSRX 5 PDRN Collagen Vitalizing Hydrogel Eye Patch 60pcs,COSRX  5 PDRN Collagen Vitalizing Hydrogel 眼膜 60pcs,Eye Mask,KR,60,pc,MASK-COSRX-PDRN-COLLAGEN-NA-60PC,8800311121058,,,,,,"Skin Concerns:
Dullness and dark circles
Puffiness around the eyes
Fine lines and dryness
Loss of visible elasticity

Key Benefits:
Revitalizes Appearance: Refreshes the look of tired eyes and improves overall radiance.
Intense Hydration: Deeply moisturizes the skin to smooth the look of fine lines caused by dehydration.
Visibly Firms: Enhances the appearance of skin resilience and targets sagging in the under-eye area.
Cooling & Soothing: Provides a physical cooling effect that helps reduce the look of puffiness.",,"Usage:
After cleansing, use the included spatula to gently lift and separate a hydrogel patch.
Apply onto the clean, dry under-eye area or any area where extra care is needed (such as smile lines).
Leave on for 20–30 minutes to allow the essence to absorb.
Remove the patches and gently pat the remaining essence into the skin until fully absorbed.",,,,,imported,pending,pending,pending,Awaiting supplier confirmation and Canadian review.,32.99,CAD,pending,Kiokii CAD price captured for review; verify against current supplier pricing.
MASK-CENTELLIAN24-AE015214,Centellian24,en,Centellian24 360 Shot PDRN Glowing Eye Patch 6 Pairs,Centellian24 360 Shot PDRN Glowing Eye Patch 6 Pairs,Centellian24  360 Shot PDRN Glowing 眼膜 6 Pairs,Eye Mask,KR,6,pc,MASK-CENTELLIAN24-SHOT-PDRN-NA-6PC,8806109107594,,,,,,"Skin Concerns:Dullness and loss of radiance,

Appearance of fine lines around the eyes,

Tired-looking, ""sunken"" eye contours,

Rough skin texture and dryness,

Puffy appearance due to lack of moisture
Key Benefits:
Instant Glow Boost: Specially formulated to provide a ""glass-skin"" glow to the under-eye area, making eyes look instantly more awake.
Texture Smoothing: Helps smooth the appearance of uneven skin texture and fine dry lines through intensive hydration.
Revitalizing Care: Features Vegan PDRN to help improve the skin’s visible vitality and bounce without irritation.
360-Degree Fit: The ergonomic patch design covers the entire under-eye and ""C-zone"" area, ensuring maximum delivery of the active essence.
Cooling & Soothing: Provides a refreshing sensation upon application, helping to soothe the delicate skin surface.",,"After cleansing and toning, remove the patches from the pouch.
Apply the patches under the eyes, ensuring the curved side fits comfortably against the lower lash line.
Leave on for 10 to 20 minutes.
Remove the patches and gently tap the remaining essence into the skin until absorbed. Follow with an eye cream to lock in the glow.",,"For external use only. Patch testing is always recommended. Discontinue use immediately if you experience any discomfort or irritation. Avoid contact with eyes. If contact occurs, rinse thoroughly with water. Keep out of reach of children.",,,imported,pending,pending,pending,Awaiting supplier confirmation and Canadian review.,23.99,CAD,pending,Kiokii CAD price captured for review; verify against current supplier pricing.
MASK-QUALITY-1ST-70554A15,Quality 1st,en,QUALITY 1ST Derma Laser Eye Sheet Super VC Retinol 10pcs,QUALITY 1ST Derma Laser Eye Sheet Super VC Retinol 10pcs,Quality 1st   Derma Laser Eye Sheet Super VC Retinol 10pcs,Eye Mask,JP,10,pc,MASK-QUALITY-1ST-DERMA-LASER-NA-10PC,4560401461825,,,,,,"Skin Concerns:Dark circles and dullness，

Fine lines and ""crow's feet""，

Loss of elasticity and sagging，

Dehydration and rough texture
Key Benefits:
Triple-Threat Brightening: Combines multiple forms of Vitamin C to reduce the look of dullness and even out skin tone around the eyes.
Age-Defying Firmness: Infused with Retinol to help minimize the appearance of fine lines and improve the visible texture of the skin.
Advanced Delivery System: Features Nanocapsule technology that ensures ingredients are delivered efficiently to the skin's surface for maximum impact.
Superior Adhesion: The high-quality sheet material fits the contoured eye area perfectly, ensuring every inch receives the essence.
Quick & Intensive: Delivers noticeable results in just 3 minutes, making it perfect for both morning prep and evening recovery.",,"After cleansing and toning, use the included tweezers to take out one pair of eye sheets.
Align the sheets under each eye and press gently to ensure good contact with the skin.
Leave on for 3 minutes (or up to 10 minutes if you have extra dry skin).
Remove the sheets and gently pat the remaining essence into the skin until fully absorbed. Follow with your favorite eye cream.",,"For external use only. Patch testing is always recommended. Discontinue use immediately if you experience any discomfort or irritation. Avoid contact with eyes. If contact occurs, rinse thoroughly with water. Keep out of reach of children.",,,imported,pending,pending,pending,Awaiting supplier confirmation and Canadian review.,12.99,CAD,pending,Kiokii CAD price captured for review; verify against current supplier pricing.
